,country_or_area,commodity_transaction,year,unit,quantity,category
1025857,Canada,Electricity - total solar production,2014,"Kilowatt-hours, million",1756.0,solar_electricity
1025858,Canada,Electricity - total solar production,2013,"Kilowatt-hours, million",1499.0,solar_electricity
1025859,Canada,Electricity - total solar production,2012,"Kilowatt-hours, million",319.0,solar_electricity
1025860,Canada,Electricity - total solar production,2011,"Kilowatt-hours, million",260.0,solar_electricity
1025861,Canada,Electricity - total solar production,2010,"Kilowatt-hours, million",117.0,solar_electricity
1025862,Canada,Electricity - total solar production,2009,"Kilowatt-hours, million",5.0,solar_electricity
1025863,Canada,Electricity - total solar production,2008,"Kilowatt-hours, million",35.0,solar_electricity
1025864,Canada,Electricity - total solar production,2007,"Kilowatt-hours, million",26.0,solar_electricity
1025865,Canada,Electricity - total solar production,2006,"Kilowatt-hours, million",21.0,solar_electricity
1025866,Canada,Electricity - total solar production,2005,"Kilowatt-hours, million",17.0,solar_electricity
1025867,Canada,Electricity - total solar production,2004,"Kilowatt-hours, million",13.0,solar_electricity
1025868,Canada,Electricity - total solar production,2003,"Kilowatt-hours, million",23.0,solar_electricity
1025869,Canada,Electricity - total solar production,2002,"Kilowatt-hours, million",22.0,solar_electricity
1025870,Canada,Electricity - total solar production,2001,"Kilowatt-hours, million",19.0,solar_electricity
1025871,Canada,Electricity - total solar production,2000,"Kilowatt-hours, million",16.0,solar_electricity
1025872,Canada,Electricity - total solar production,1999,"Kilowatt-hours, million",13.0,solar_electricity
1025873,Canada,Electricity - total solar production,1998,"Kilowatt-hours, million",10.0,solar_electricity
1025874,Canada,Electricity - total solar production,1997,"Kilowatt-hours, million",7.0,solar_electricity
1025875,Canada,Electricity - total solar production,1996,"Kilowatt-hours, million",6.0,solar_electricity
1025876,Canada,Electricity - total solar production,1995,"Kilowatt-hours, million",4.0,solar_electricity
1025877,Canada,Electricity - total solar production,1994,"Kilowatt-hours, million",3.0,solar_electricity
1025878,Canada,Electricity - total solar production,1993,"Kilowatt-hours, million",3.0,solar_electricity
1025879,Canada,Electricity - total solar production,1992,"Kilowatt-hours, million",2.0,solar_electricity
1025884,China,Electricity - total solar production,2014,"Kilowatt-hours, million",15189.0,solar_electricity
1025885,China,Electricity - total solar production,2013,"Kilowatt-hours, million",5564.0,solar_electricity
1025993,France,Electricity - total solar production,2014,"Kilowatt-hours, million",5909.0,solar_electricity
1025994,France,Electricity - total solar production,2013,"Kilowatt-hours, million",4735.0,solar_electricity
1025995,France,Electricity - total solar production,2012,"Kilowatt-hours, million",4016.0,solar_electricity
1025996,France,Electricity - total solar production,2011,"Kilowatt-hours, million",2078.0,solar_electricity
1025997,France,Electricity - total solar production,2010,"Kilowatt-hours, million",620.0,solar_electricity
1025998,France,Electricity - total solar production,2009,"Kilowatt-hours, million",174.0,solar_electricity
1025999,France,Electricity - total solar production,2008,"Kilowatt-hours, million",42.0,solar_electricity
1026000,France,Electricity - total solar production,2007,"Kilowatt-hours, million",27.0,solar_electricity
1026001,France,Electricity - total solar production,2006,"Kilowatt-hours, million",16.0,solar_electricity
1026002,France,Electricity - total solar production,2005,"Kilowatt-hours, million",13.0,solar_electricity
1026003,France,Electricity - total solar production,2004,"Kilowatt-hours, million",9.0,solar_electricity
1026004,France,Electricity - total solar production,2003,"Kilowatt-hours, million",8.0,solar_electricity
1026005,France,Electricity - total solar production,2002,"Kilowatt-hours, million",7.0,solar_electricity
1026006,France,Electricity - total solar production,2001,"Kilowatt-hours, million",6.0,solar_electricity
1026007,France,Electricity - total solar production,2000,"Kilowatt-hours, million",5.0,solar_electricity
